Community,Type,num_clients,Horse,Bird,Airplane,Automobile,Dog,Deer,Ship,Frog,Cat,Truck
0,Starting,1,26.32,57.89,10.53,5.26,0.0,0.0,0.0,0.0,0.0,0.0
1,Starting,1,83.72,0.0,2.07,0.0,8.27,0.78,5.17,0.0,0.0,0.0
2,Starting,4,2.05,1.01,10.99,43.87,0.83,0.74,15.13,14.68,8.49,2.2
3,Starting,24,7.82,19.5,6.73,2.93,12.2,12.55,9.73,5.03,6.62,16.91
4,Starting,23,19.17,12.09,12.03,8.19,19.28,0.62,6.47,6.83,7.36,7.96
5,Starting,21,14.93,8.14,21.21,10.49,0.47,2.95,7.79,9.98,8.74,15.31
6,Starting,26,1.75,7.28,2.27,7.06,12.57,21.82,12.63,13.99,15.14,5.5
0,Ending,4,56.78,2.21,2.95,0.15,4.72,7.96,14.6,7.82,1.18,1.62
1,Ending,4,1.42,4.92,6.34,50.19,0.0,0.0,13.31,15.98,6.79,1.04
2,Ending,23,14.64,12.81,13.61,3.93,2.01,15.06,10.37,5.9,10.28,11.4
3,Ending,20,9.49,13.42,14.82,10.37,7.6,3.52,6.77,5.58,18.36,10.07
4,Ending,49,8.42,8.62,7.46,7.15,14.82,12.52,10.63,12.53,7.02,10.84
