Community,Type,num_clients,Ship,Horse,Bird,Truck,Automobile,Deer,Dog,Frog,Cat,Airplane
0,Starting,19,21.95,18.8,18.53,8.84,7.54,2.69,2.24,3.67,4.07,11.67
1,Starting,20,10.35,3.89,10.75,14.13,15.03,11.8,18.33,3.7,4.45,7.55
2,Starting,27,4.48,6.9,16.88,11.7,4.28,8.97,16.86,4.77,10.69,14.47
3,Starting,19,6.45,9.52,0.74,10.29,11.48,11.93,11.26,21.53,10.83,5.96
4,Starting,15,10.41,11.45,8.08,7.12,11.22,11.78,3.76,10.91,14.58,10.68
0,Ending,13,15.1,20.83,2.57,12.61,21.46,0.79,1.32,3.54,3.18,18.61
1,Ending,17,7.01,19.12,2.0,6.09,17.62,4.43,5.9,30.22,4.21,3.41
2,Ending,16,21.15,4.43,11.07,12.83,5.27,15.05,1.5,8.88,6.16,13.65
3,Ending,23,3.67,5.19,16.94,9.68,3.16,9.63,9.41,7.34,22.82,12.17
4,Ending,31,7.45,8.63,10.79,9.56,10.2,13.28,20.73,5.02,8.01,6.32
