Community,Type,num_clients,Horse,Airplane,Bird,Ship,Truck,Cat,Dog,Automobile,Deer,Frog
0,Starting,18,6.48,5.75,2.61,5.01,28.91,1.65,22.21,6.29,5.12,15.98
1,Starting,17,4.46,14.5,16.24,8.01,3.57,13.59,12.33,12.56,9.65,5.1
2,Starting,18,19.98,6.17,4.45,14.22,20.7,4.5,1.05,14.05,7.85,7.04
3,Starting,24,3.32,6.23,17.37,11.86,3.2,8.0,10.39,5.72,13.2,20.71
4,Starting,23,13.58,14.56,8.13,9.9,3.22,16.67,7.78,11.15,11.39,3.61
0,Ending,9,13.94,5.81,8.87,3.8,5.07,9.58,13.17,17.15,14.26,8.35
1,Ending,13,4.06,13.41,6.19,7.07,3.97,23.42,6.07,18.07,11.11,6.62
2,Ending,17,12.67,5.24,12.32,12.74,13.93,6.25,14.07,5.78,11.14,5.85
3,Ending,22,12.17,19.7,8.16,1.74,18.12,9.29,6.75,5.14,5.66,13.26
4,Ending,39,8.06,6.21,11.07,15.42,5.57,9.16,10.68,11.81,11.14,10.87
